id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,magnetic_variation_deg,usage_type,power,associated_airport,power_category
91631,N_Mora_NDB_SE,NM,N Mora,ndb,403,61.03120041,14.46049976,NA,SE,2.532,BOTH,LOW,ESKM,High
91632,Nemyriv_NDB_UA,NM,Nemyriv,ndb,106,48.96640015,28.84830093,NA,UA,5.361,BOTH,HIGH,NA,High
91633,Bima_VOR-DME_ID,NMA,Bima,vor-dme,115100,-8.519980431,118.689003,3,ID,1.514,BOTH,HIGH,WADB,High
91634,Meridian_TACAN_US,NMM,Meridian,tacan,111900,32.57849884,-88.54530334,310,US,-0.51,BOTH,MEDIUM,KNMM,High
91635,Mendig_NDB_DE,NMN,Mendig,ndb,331,50.36780167,7.313670158,671,DE,0.225,LO,LOW,ETHM,High
91636,Namsos_NDB_NO,NMS,Namsos,ndb,329,64.49500275,11.80869961,535,NO,1.442,BOTH,LOW,ENNM,High
91637,Meyerton_NDB_ZA,NMT,Meyerton,ndb,385,-26.55719948,28.03249931,NA,ZA,-18.187,BOTH,MEDIUM,NA,High
91638,Nadi_VOR-DME_FJ,NN,Nadi,vor-dme,112500,-17.65469933,177.3959961,119,FJ,12.142,BOTH,HIGH,NFFN,High
91639,Entebbe_VOR-DME_UG,NN,Entebbe,vor-dme,117500,0.052997001,32.43799973,3782,UG,0.376,BOTH,HIGH,HUEN,High
91640,Nanortalik_NDB_GL,NN,Nanortalik,ndb,270,60.14580154,-45.25559998,NA,GL,-25.527,BOTH,LOW,NA,High
91641,Gorontalo_NDB_ID,NN,Gorontalo,ndb,285,0.640780985,122.8509979,59,ID,1.077,BOTH,MEDIUM,WAMG,High
91642,Kozhevnikovo_NDB_RU,NN,Kozhevnikovo,ndb,482,56.23329926,83.96669769,NA,RU,9.018,BOTH,HIGH,NA,High
91643,Nan_NDB_TH,NN,Nan,ndb,355,18.8003006,100.7829971,NA,TH,-0.463,BOTH,MEDIUM,VTCN,High
91644,Niamtougou_NDB_TG,NN,Niamtougou,ndb,318,9.834609985,1.119860053,NA,TG,-3.177,BOTH,LOW,NA,High
91645,Shikang_NDB_TW,NN,Shikang,ndb,375,23.12470055,120.2020035,NA,TW,-3.073,BOTH,MEDIUM,RCNN,High
91646,Northampton_NDB_GB,NN,Northampton,ndb,379,52.29909897,-0.797603011,NA,GB,-2.396,TERMINAL,LOW,EGBK,High
91647,Nanning_VOR-DME_CN,NNG,Nanning,vor-dme,114500,22.625,108.1969986,420,CN,-1.346,BOTH,HIGH,ZGNN,High
91648,Nagpur_VOR-DME_IN,NNP,Nagpur,vor-dme,112700,21.11160088,79.01989746,1033,IN,-0.385,BOTH,HIGH,VANP,High
91649,Nanxiong_VOR-DME_CN,NNX,Nanxiong,vor-dme,115600,25.10000038,114.2720032,128,CN,-2.473,BOTH,HIGH,NA,High
91650,Nakhchivan_NDB_AZ,NO,Nakhchivan,ndb,493,39.1651001,45.48590088,NA,AZ,5.039,TERMINAL,MEDIUM,UBBB,High
