id.x,filename,ident,name.x,type.x,frequency_khz,latitude_deg.x,longitude_deg.x,elevation_ft.x,iso_country.x,magnetic_variation_deg,usage_type,power,associated_airport,power_category,id.y,type.y,name.y,latitude_deg.y,longitude_deg.y,elevation_ft.y,continent,iso_country.y,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,x16,x17,x18,airport_type,airport_size,latitude,longitude,distance_from_dc,is_critical_navaid
85510,Anvik_NDB-DME_US,ANV,Anvik,ndb-dme,365,62.64139938,-160.1900024,358,US,16.061,LO,MEDIUM,PANV,High,5392,medium_airport,Anvik Airport,62.646702,-160.190994,291,NA,US,US-AK,Anvik,yes,PANV,ANV,ANV,NA,NA,NA,medium_airport,Other,62.64139938,-160.1900024,86.47398833727098,FALSE
85511,Ainsworth_VOR-DME_US,ANW,Ainsworth,vor-dme,112700,42.56909943,-99.98970032,2582,US,6.449,LO,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.56909943,-99.98970032,23.2430753121274,FALSE
85512,Arlanda_DME_SE,ANW,Arlanda,dme,112050,59.7132988,17.8526001,164,SE,4.127,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7132988,17.8526001,97.14376447566391,FALSE
85513,Napoleon_VORTAC_US,ANX,Napoleon,vortac,114000,39.09540176,-94.12879944,878,US,2.354,LO,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.09540176,-94.12879944,17.092935569103954,FALSE
85514,Anthony_VORTAC_US,ANY,Anthony,vortac,112900,37.15890121,-98.17070007,1390,US,5.293,BOTH,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.15890121,-98.17070007,21.205990994477176,FALSE
85515,Achmad_Yani_VOR-DME_ID,ANY,Achmad Yani,vor-dme,115200,-6.974720001,110.3799973,10,ID,1.114,BOTH,HIGH,WARS,High,26790,medium_airport,Achmad Yani Airport,-6.970732,110.373244,10,AS,ID,ID-JT,Semarang,yes,WAHS,SRG,NA,NA,NA,NA,medium_airport,Other,-6.974720001,110.3799973,192.95140314736486,FALSE
85516,Hao_NDB_PF,AO,Hao,ndb,370,-18.06329918,-140.9620056,NA,PF,12.568,BOTH,MEDIUM,NTTO,High,5007,medium_airport,Hao Airport,-18.0748,-140.945999,10,OC,PF,PF-U-A,Otepa,yes,NTTO,HOI,NA,NA,NA,NA,medium_airport,Other,-18.06329918,-140.9620056,85.62743078470551,FALSE
85517,Opera_NDB_HU,AO,Opera,ndb,282,47.08169937,20.21170044,322,HU,3.339,LO,LOW,LHSN,High,4306,medium_airport,Szolnok Air Base,47.122897,20.2355,322,EU,HU,HU-JN,Szolnok,no,LHSN,NA,NA,NA,NA,NA,medium_airport,Other,47.08169937,20.21170044,97.59156073907671,FALSE
85518,Kano_NDB_NG,AO,Kano,ndb,376,12.05869961,8.541740417,1589,NG,-1.15,TERMINAL,LOW,DNKN,High,2115,medium_airport,Mallam Aminu International Airport,12.0476,8.52462,1562,AF,NG,NG-KN,Kano,yes,DNKN,KAN,NA,NA,NA,NA,medium_airport,Other,12.05869961,8.541740417,89.69139127482646,FALSE
85519,Arco_NDB_US,AOC,Arco,ndb,200,43.59899902,-113.3420029,5327,US,13.583,LO,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.59899902,-113.3420029,36.60701400857028,FALSE
85520,Rota_TACAN_ES,AOG,Rota,tacan,108600,36.64789963,-6.349060059,86,ES,-2.559,BOTH,HIGH,LERT,High,4032,medium_airport,Rota Naval Station Airport,36.64519882,-6.349460125,86,EU,ES,ES-AN,Rota,no,LERT,ROZ,NA,NA,NA,NA,medium_airport,Other,36.64789963,-6.349060059,70.72393621459653,FALSE
85521,Rota_NDB_ES,AOG,Rota,ndb,268,36.64210129,-6.316810131,NA,ES,-2.552,TERMINAL,LOW,LERT,High,4032,medium_airport,Rota Naval Station Airport,36.64519882,-6.349460125,86,EU,ES,ES-AN,Rota,no,LERT,ROZ,NA,NA,NA,NA,medium_airport,Other,36.64210129,-6.316810131,70.75635507320513,FALSE
85522,Allen_Co_VOR_US,AOH,Allen Co,vor,108400,40.70709991,-83.96820068,980,US,-5.554,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.70709991,-83.96820068,7.161184874208063,FALSE
85523,Altoona_VOR_US,AOO,Altoona,vor,108800,40.32540131,-78.30370331,1630,US,-10.131,LO,MEDIUM,KAOO,High,3380,medium_airport,Altoona Blair County Airport,40.296398,-78.32,1503,NA,US,US-PA,Altoona,yes,KAOO,AOO,AOO,NA,NA,NA,medium_airport,Other,40.32540131,-78.30370331,1.9016007945708937,FALSE
85524,Antelope_NDB_US,AOP,Antelope,ndb,290,41.60419846,-109.0019989,NA,US,11.485,TERMINAL,MEDIUM,KRKS,High,3850,medium_airport,Southwest Wyoming Regional Airport,41.5942,-109.065001,6764,NA,US,US-WY,Rock Springs,yes,KRKS,RKS,RKS,NA,NA,NA,medium_airport,Other,41.60419846,-109.0019989,32.07867435509179,FALSE
85525,Bilmart_NDB_US,AOV,Bilmart,ndb,341,36.96979904,-92.67739868,1302,US,1.409,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.96979904,-92.67739868,15.760035578604842,FALSE
85526,Active_Pass_NDB_CA,AP,Active Pass,ndb,378,48.87390137,-123.2900009,NA,CA,18.181,LO,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.87390137,-123.2900009,47.31473849726256,FALSE
85527,Apiay_NDB_CO,AP,Apiay,ndb,270,4.074999809,-73.47499847,NA,CO,-5.571,TERMINAL,MEDIUM,SKAP,High,6098,medium_airport,Gomez Nino Apiay Air Base,4.07607,-73.5627,1207,SA,CO,CO-MET,Apiay,no,SKAP,API,APY,NA,NA,NA,medium_airport,Other,4.074999809,-73.47499847,35.01384458546815,FALSE
85528,Allahabad_NDB_IN,AP,Allahabad,ndb,328,25.46710014,81.69819641,NA,IN,-0.032,BOTH,MEDIUM,VIAL,High,26538,medium_airport,Prayagraj Airport,25.4401,81.733902,322,AS,IN,IN-UP,Allahabad,yes,VEAB,IXD,VEAB,NA,NA,NA,medium_airport,Other,25.46710014,81.69819641,159.30306687737925,FALSE
85529,Anapa_NDB_RU,AP,Anapa,ndb,443,45.03499985,37.39170074,NA,RU,6.018,TERMINAL,MEDIUM,URKA,High,6511,medium_airport,Anapa Vityazevo Airport,45.002102,37.347301,174,EU,RU,RU-KDA,Krasnyi Kurgan,yes,URKA,AAQ,NA,NA,NA,NA,medium_airport,Other,45.03499985,37.39170074,114.59255908790932,FALSE
85530,Voronezh_NDB_RU,AP,Voronezh,ndb,289,51.77669907,39.30329895,NA,RU,8.266,TERMINAL,MEDIUM,UUOO,High,26400,medium_airport,Voronezh International Airport,51.81420135,39.229599,514,EU,RU,RU-VOR,Voronezh,yes,UUOO,VOZ,NA,NA,NA,NA,medium_airport,Other,51.77669907,39.30329895,117.04984364807291,FALSE
85531,Anpu_NDB_TW,AP,Anpu,ndb,250,25.17609978,121.5230026,NA,TW,-3.445,BOTH,MEDIUM,RCSS,High,5527,medium_airport,Taipei Songshan Airport,25.06940079,121.552002,18,AS,TW,TW-TPE,Taipei City,yes,RCSS,TSA,NA,NA,NA,NA,medium_airport,Other,25.17609978,121.5230026,199.03411273893016,FALSE
85532,Aberporth_NDB_GB,AP,Aberporth,ndb,371,52.11629868,-4.559830189,NA,GB,-4.07,TERMINAL,LOW,EGFA,High,2413,small_airport,Aberporth Airport,52.11529922,-4.556940079,428,EU,GB,GB-WLS,Aberporth,no,EGFA,NA,NA,NA,NA,NA,small_airport,Small,52.11629868,-4.559830189,73.67093006285822,FALSE
85533,Casse_NDB_US,AP,Casse,ndb,260,39.45190048,-104.8460007,6412,US,9.299,LO,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.45190048,-104.8460007,27.814434748088136,FALSE
85534,Felps_NDB_US,AP,Felps,ndb,206,44.96070099,-83.55999756,750,US,-7.305,TERMINAL,LOW,KAPN,High,3382,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,yes,KAPN,APN,APN,NA,NA,NA,medium_airport,Other,44.96070099,-83.55999756,8.899195245257227,FALSE
85535,Vagey_NDB_US,AP,Vagey,ndb,338,44.82410049,-93.30580139,NA,US,1.19,TERMINAL,LOW,KMSP,High,3709,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,841,NA,US,US-MN,Minneapolis,yes,KMSP,MSP,MSP,NA,NA,NA,large_airport,Other,44.82410049,-93.30580139,17.31146625350106,FALSE
85536,Taupo_NDB-DME_NZ,AP,Taupo,ndb-dme,230,-38.74319839,176.0740051,1335,NZ,20.363,BOTH,MEDIUM,NZAP,High,5024,medium_airport,Taupo Airport,-38.73970032,176.0839996,1335,OC,NZ,NZ-WKO,Taupo,yes,NZAP,TUO,NA,NA,NA,NA,medium_airport,Other,-38.74319839,176.0740051,264.75406446486693,FALSE
85537,Apolo_NDB_BO,APB,Apolo,ndb,240,-14.68540001,-68.41660309,NA,BO,-6.006,LO,MEDIUM,SLAP,High,29662,small_airport,Apolo Airport,-14.73560047,-68.41190338,4639,SA,BO,BO-L,Apolo,no,SLAP,APB,NA,NA,NA,NA,small_airport,Small,-14.68540001,-68.41660309,54.28145442642826,FALSE
85538,Appleton_VORTAC_US,APE,Appleton,vortac,116700,40.15110016,-82.58830261,1350,US,-6.539,BOTH,HIGH,KLCK,High,3638,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,744,NA,US,US-OH,Columbus,yes,KLCK,LCK,LCK,NA,NA,NA,medium_airport,Other,40.15110016,-82.58830261,5.689056032977948,FALSE
85539,Naples_NDB_US,APF,Naples,ndb,201,26.15570068,-81.7743988,35,US,-4.324,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.15570068,-81.7743988,13.603111033435034,FALSE
85540,Aberdeen_NDB_US,APG,Aberdeen,ndb,349,39.53509903,-76.10630035,45,US,-11.298,TERMINAL,LOW,KAPG,High,3381,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57,NA,US,US-MD,Aberdeen,no,KAPG,APG,APG,NA,NA,NA,medium_airport,Other,39.53509903,-76.10630035,1.122618768975054,FALSE
85541,A_P_Hill_NDB_US,APH,A P Hill,ndb,396,38.08779907,-77.32489777,284,US,-10.153,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.08779907,-77.32489777,0.8685393483371038,FALSE
85542,Alpena_VORTAC_US,APN,Alpena,vortac,108800,45.08280182,-83.55699921,680,US,-7.332,LO,MEDIUM,KAPN,High,3382,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,yes,KAPN,APN,APN,NA,NA,NA,medium_airport,Other,45.08280182,-83.55699921,8.980520672401454,FALSE
